FileName,Relative_Path,Crop,SubType,Ground_Truth,Model_Prediction,Confidence
Curl Virus_440.jpg,RAW_DATA\01_Chilli\biotic\Curl_Virus\Curl Virus_440.jpg,Chilli,Curl_Virus,Biotic,Abiotic,0.9877
Curl Virus_457.jpg,RAW_DATA\01_Chilli\biotic\Curl_Virus\Curl Virus_457.jpg,Chilli,Curl_Virus,Biotic,Abiotic,0.8573
Healthy_211.jpg,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_211.jpg,Tomato,Healthy,Abiotic,Biotic,0.5418
Healthy_22.jpg,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_22.jpg,Tomato,Healthy,Abiotic,Biotic,0.7894
Healthy_232.jpg,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_232.jpg,Tomato,Healthy,Abiotic,Biotic,0.6779
Healthy_233.jpg,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_233.jpg,Tomato,Healthy,Abiotic,Biotic,0.5835
Healthy_368.jpg,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_368.jpg,Tomato,Healthy,Abiotic,Biotic,0.5212
Healthy_369.jpg,RAW_DATA\02_Tomato\abiotic\Healthy\Healthy_369.jpg,Tomato,Healthy,Abiotic,Biotic,0.9964
Magnesium Deficiency_113.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_113.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.9378
Magnesium Deficiency_183.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_183.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.5034
Magnesium Deficiency_409.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_409.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.9873
Magnesium Deficiency_452.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_452.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.8151
Magnesium Deficiency_577.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_577.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.8212
Magnesium Deficiency_636.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_636.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.9905
Magnesium Deficiency_649.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_649.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.9163
Magnesium Deficiency_678.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_678.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.6255
Magnesium Deficiency_680.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_680.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.7825
Magnesium Deficiency_717.jpg,RAW_DATA\02_Tomato\abiotic\Magnesium Deficiency\Magnesium Deficiency_717.jpg,Tomato,Magnesium Deficiency,Abiotic,Biotic,0.6013
Bacteiral Spot_112.jpg,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_112.jpg,Tomato,Bacteiral Spot,Biotic,Abiotic,0.5891
Bacteiral Spot_22.jpg,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_22.jpg,Tomato,Bacteiral Spot,Biotic,Abiotic,0.9878
Bacteiral Spot_37.jpg,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_37.jpg,Tomato,Bacteiral Spot,Biotic,Abiotic,0.7930
Bacteiral Spot_53.jpg,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_53.jpg,Tomato,Bacteiral Spot,Biotic,Abiotic,0.7637
Bacteiral Spot_58.jpg,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_58.jpg,Tomato,Bacteiral Spot,Biotic,Abiotic,0.9336
Bacteiral Spot_79.jpg,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_79.jpg,Tomato,Bacteiral Spot,Biotic,Abiotic,0.9946
Bacteiral Spot_84.jpg,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_84.jpg,Tomato,Bacteiral Spot,Biotic,Abiotic,0.6457
Bacteiral Spot_91.jpg,RAW_DATA\02_Tomato\biotic\Bacteiral Spot\Bacteiral Spot_91.jpg,Tomato,Bacteiral Spot,Biotic,Abiotic,0.5633
Early Blight_107.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_107.jpg,Tomato,Early Blight,Biotic,Abiotic,0.8420
Early Blight_165.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_165.jpg,Tomato,Early Blight,Biotic,Abiotic,0.5835
Early Blight_176.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_176.jpg,Tomato,Early Blight,Biotic,Abiotic,0.9563
Early Blight_185.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_185.jpg,Tomato,Early Blight,Biotic,Abiotic,0.7371
Early Blight_190.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_190.jpg,Tomato,Early Blight,Biotic,Abiotic,0.8716
Early Blight_191.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_191.jpg,Tomato,Early Blight,Biotic,Abiotic,0.8216
Early Blight_194.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_194.jpg,Tomato,Early Blight,Biotic,Abiotic,0.9401
Early Blight_222.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_222.jpg,Tomato,Early Blight,Biotic,Abiotic,0.9419
Early Blight_247.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_247.jpg,Tomato,Early Blight,Biotic,Abiotic,0.7886
Early Blight_284.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_284.jpg,Tomato,Early Blight,Biotic,Abiotic,0.9882
Early Blight_291.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_291.jpg,Tomato,Early Blight,Biotic,Abiotic,0.9157
Early Blight_66.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_66.jpg,Tomato,Early Blight,Biotic,Abiotic,0.8928
Early Blight_68.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_68.jpg,Tomato,Early Blight,Biotic,Abiotic,0.9439
Early Blight_70.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_70.jpg,Tomato,Early Blight,Biotic,Abiotic,0.9781
Early Blight_80.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_80.jpg,Tomato,Early Blight,Biotic,Abiotic,0.7188
Early Blight_86.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_86.jpg,Tomato,Early Blight,Biotic,Abiotic,0.9066
Early Blight_95.jpg,RAW_DATA\02_Tomato\biotic\Early Blight\Early Blight_95.jpg,Tomato,Early Blight,Biotic,Abiotic,0.8434
Late Blight_2.jpg,RAW_DATA\02_Tomato\biotic\Late Blight\Late Blight_2.jpg,Tomato,Late Blight,Biotic,Abiotic,0.9302
Late Blight_84.jpg,RAW_DATA\02_Tomato\biotic\Late Blight\Late Blight_84.jpg,Tomato,Late Blight,Biotic,Abiotic,0.7482
Leaf Miner Flies_129.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_129.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.9387
Leaf Miner Flies_130.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_130.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.5358
Leaf Miner Flies_135.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_135.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.9827
Leaf Miner Flies_138.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_138.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.8407
Leaf Miner Flies_162.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_162.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.6860
Leaf Miner Flies_164.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_164.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.5578
Leaf Miner Flies_165.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_165.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.9809
Leaf Miner Flies_21.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_21.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.7015
Leaf Miner Flies_224.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_224.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.9771
Leaf Miner Flies_284.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_284.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.9888
Leaf Miner Flies_287.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_287.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.9875
Leaf Miner Flies_359.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_359.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.5304
Leaf Miner Flies_390.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_390.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.6088
Leaf Miner Flies_483.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_483.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.5069
Leaf Miner Flies_555.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_555.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.9645
Leaf Miner Flies_592.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_592.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.8319
Leaf Miner Flies_832.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_832.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.5832
Leaf Miner Flies_852.jpg,RAW_DATA\02_Tomato\biotic\Leaf Miner Flies\Leaf Miner Flies_852.jpg,Tomato,Leaf Miner Flies,Biotic,Abiotic,0.5218
1 (668).jpg,RAW_DATA\02_Tomato\biotic\Tomato septoria leaf spot\1 (668).jpg,Tomato,Tomato septoria leaf spot,Biotic,Abiotic,0.9988
281tomato_valid_septoria leaf spot.JPG,RAW_DATA\02_Tomato\biotic\Tomato septoria leaf spot\281tomato_valid_septoria leaf spot.JPG,Tomato,Tomato septoria leaf spot,Biotic,Abiotic,0.9968
Tomato Septoria leaf spot (100).jpg,RAW_DATA\02_Tomato\biotic\Tomato septoria leaf spot\Tomato Septoria leaf spot (100).jpg,Tomato,Tomato septoria leaf spot,Biotic,Abiotic,0.7482
Tomato Septoria leaf spot (11).jpg,RAW_DATA\02_Tomato\biotic\Tomato septoria leaf spot\Tomato Septoria leaf spot (11).jpg,Tomato,Tomato septoria leaf spot,Biotic,Abiotic,0.9742
Tomato Septoria leaf spot (114).jpg,RAW_DATA\02_Tomato\biotic\Tomato septoria leaf spot\Tomato Septoria leaf spot (114).jpg,Tomato,Tomato septoria leaf spot,Biotic,Abiotic,0.9827
Tomato Septoria leaf spot (127).jpg,RAW_DATA\02_Tomato\biotic\Tomato septoria leaf spot\Tomato Septoria leaf spot (127).jpg,Tomato,Tomato septoria leaf spot,Biotic,Abiotic,0.5276
Tomato Septoria leaf spot (18).jpg,RAW_DATA\02_Tomato\biotic\Tomato septoria leaf spot\Tomato Septoria leaf spot (18).jpg,Tomato,Tomato septoria leaf spot,Biotic,Abiotic,0.9662
Tomato Septoria leaf spot (34).jpg,RAW_DATA\02_Tomato\biotic\Tomato septoria leaf spot\Tomato Septoria leaf spot (34).jpg,Tomato,Tomato septoria leaf spot,Biotic,Abiotic,0.9819
1 (34).jpg,RAW_DATA\02_Tomato\biotic\Tomato verticulium wilt\1 (34).jpg,Tomato,Tomato verticulium wilt,Biotic,Abiotic,0.9836
Curl_12.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_12.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.6799
Curl_140.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_140.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.8140
Curl_144.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_144.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.6143
Curl_157.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_157.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.5305
Curl_18.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_18.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.9988
Curl_202.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_202.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.6859
Curl_218.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_218.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.6626
Curl_4.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_4.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.5084
Curl_58.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_58.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.5144
Curl_7.jpg,RAW_DATA\02_Tomato\biotic\Yellow Leaf Curl Virus\Curl_7.jpg,Tomato,Yellow Leaf Curl Virus,Biotic,Abiotic,0.8988
Augmented_0_2687.jpeg,RAW_DATA\03_Carambola\abiotic\Healthy\Augmented_0_2687.jpeg,Carambola,Healthy,Abiotic,Biotic,0.7358
Augmented_0_3710.jpeg,RAW_DATA\03_Carambola\abiotic\Healthy\Augmented_0_3710.jpeg,Carambola,Healthy,Abiotic,Biotic,0.9111
Augmented_0_6330.jpeg,RAW_DATA\03_Carambola\abiotic\Healthy\Augmented_0_6330.jpeg,Carambola,Healthy,Abiotic,Biotic,0.8076
Augmented_0_6471.jpeg,RAW_DATA\03_Carambola\abiotic\Healthy\Augmented_0_6471.jpeg,Carambola,Healthy,Abiotic,Biotic,0.9283
Augmented_0_7242.jpeg,RAW_DATA\03_Carambola\abiotic\Healthy\Augmented_0_7242.jpeg,Carambola,Healthy,Abiotic,Biotic,0.5659
Augmented_0_7580.jpeg,RAW_DATA\03_Carambola\abiotic\Healthy\Augmented_0_7580.jpeg,Carambola,Healthy,Abiotic,Biotic,0.9805
Augmented_0_7709.jpeg,RAW_DATA\03_Carambola\abiotic\Healthy\Augmented_0_7709.jpeg,Carambola,Healthy,Abiotic,Biotic,0.9167
Augmented_0_9308.jpeg,RAW_DATA\03_Carambola\abiotic\Healthy\Augmented_0_9308.jpeg,Carambola,Healthy,Abiotic,Biotic,0.7128
Augmented_0_1468.jpeg,RAW_DATA\03_Carambola\abiotic\Iron_Dediciency\Augmented_0_1468.jpeg,Carambola,Iron_Dediciency,Abiotic,Biotic,0.9942
Augmented_0_2384.jpeg,RAW_DATA\03_Carambola\abiotic\Iron_Dediciency\Augmented_0_2384.jpeg,Carambola,Iron_Dediciency,Abiotic,Biotic,0.6955
Augmented_0_6064.jpeg,RAW_DATA\03_Carambola\abiotic\Iron_Dediciency\Augmented_0_6064.jpeg,Carambola,Iron_Dediciency,Abiotic,Biotic,0.6112
Augmented_0_7495.jpeg,RAW_DATA\03_Carambola\abiotic\Iron_Dediciency\Augmented_0_7495.jpeg,Carambola,Iron_Dediciency,Abiotic,Biotic,0.9423
Augmented_0_7878.jpeg,RAW_DATA\03_Carambola\abiotic\Iron_Dediciency\Augmented_0_7878.jpeg,Carambola,Iron_Dediciency,Abiotic,Biotic,0.9220
Augmented_0_1220.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_1220.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6136
Augmented_0_2010.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_2010.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.9908
Augmented_0_2249.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_2249.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.8667
Augmented_0_2507.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_2507.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6858
Augmented_0_2764.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_2764.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.7584
Augmented_0_3040.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_3040.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.7285
Augmented_0_4952.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_4952.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6200
Augmented_0_5338.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_5338.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.9399
Augmented_0_556.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_556.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6154
Augmented_0_5575.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_5575.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.7639
Augmented_0_5591.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_5591.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.9930
Augmented_0_5974.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_5974.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.9160
Augmented_0_6055.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_6055.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.5668
Augmented_0_6107.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_6107.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.5676
Augmented_0_6458.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_6458.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.9974
Augmented_0_6489.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_6489.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.7910
Augmented_0_6490.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_6490.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.9485
Augmented_0_6759.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_6759.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.8962
Augmented_0_6844.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_6844.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6775
Augmented_0_685.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_685.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.9771
Augmented_0_6859.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_6859.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6962
Augmented_0_7132.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_7132.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6549
Augmented_0_7188.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_7188.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.9561
Augmented_0_7212.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_7212.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.5231
Augmented_0_7243.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_7243.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.7883
Augmented_0_7587.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_7587.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.9828
Augmented_0_8046.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_8046.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.5383
Augmented_0_8124.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_8124.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.5870
Augmented_0_8265.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_8265.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.5569
Augmented_0_8294.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_8294.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.8801
Augmented_0_8458.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_8458.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6203
Augmented_0_8567.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_8567.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6389
Augmented_0_930.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_930.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.5354
Augmented_0_9436.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_9436.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.7469
Augmented_0_9533.jpeg,RAW_DATA\03_Carambola\biotic\Algal_Leaf_Spot\Augmented_0_9533.jpeg,Carambola,Algal_Leaf_Spot,Biotic,Abiotic,0.6118
Augmented_0_1888.jpeg,RAW_DATA\03_Carambola\biotic\Insect_past\Augmented_0_1888.jpeg,Carambola,Insect_past,Biotic,Abiotic,0.7803
Augmented_0_2122.jpeg,RAW_DATA\03_Carambola\biotic\Insect_past\Augmented_0_2122.jpeg,Carambola,Insect_past,Biotic,Abiotic,0.6735
Augmented_0_3997.jpeg,RAW_DATA\03_Carambola\biotic\Insect_past\Augmented_0_3997.jpeg,Carambola,Insect_past,Biotic,Abiotic,0.6379
Augmented_0_585.jpeg,RAW_DATA\03_Carambola\biotic\Insect_past\Augmented_0_585.jpeg,Carambola,Insect_past,Biotic,Abiotic,0.8339
Augmented_0_6153.jpeg,RAW_DATA\03_Carambola\biotic\Insect_past\Augmented_0_6153.jpeg,Carambola,Insect_past,Biotic,Abiotic,0.7272
Augmented_0_7890.jpeg,RAW_DATA\03_Carambola\biotic\Insect_past\Augmented_0_7890.jpeg,Carambola,Insect_past,Biotic,Abiotic,0.9151
Augmented_0_9624.jpeg,RAW_DATA\03_Carambola\biotic\Insect_past\Augmented_0_9624.jpeg,Carambola,Insect_past,Biotic,Abiotic,0.7822
Augmented_0_5577.jpeg,RAW_DATA\03_Carambola\biotic\Leaf_Carl_Virus\Augmented_0_5577.jpeg,Carambola,Leaf_Carl_Virus,Biotic,Abiotic,0.8239
Augmented_0_8141.jpeg,RAW_DATA\03_Carambola\biotic\Leaf_Carl_Virus\Augmented_0_8141.jpeg,Carambola,Leaf_Carl_Virus,Biotic,Abiotic,0.9948
Augmented_0_8812.jpeg,RAW_DATA\03_Carambola\biotic\Leaf_Carl_Virus\Augmented_0_8812.jpeg,Carambola,Leaf_Carl_Virus,Biotic,Abiotic,0.8771
Augmented_0_8852.jpeg,RAW_DATA\03_Carambola\biotic\Leaf_Carl_Virus\Augmented_0_8852.jpeg,Carambola,Leaf_Carl_Virus,Biotic,Abiotic,0.9005
