rel_path,crop,category,sub_type,label,split
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00015.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00016.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00017.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00018.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00019.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00020.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00021.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00022.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00023.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00024.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00025.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00026.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00027.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00028.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00029.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00030.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00031.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00032.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00033.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00034.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00035.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00036.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00037.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00038.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00039.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00040.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00041.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00042.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00043.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00044.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00045.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00046.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00047.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00048.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00049.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00050.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00051.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00052.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00053.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00054.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00055.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00056.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00057.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00058.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00059.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00060.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00061.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00062.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00063.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00064.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00065.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00066.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00067.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00068.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00069.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00070.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00071.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00072.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00073.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00074.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00075.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00076.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00077.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00078.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00079.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00080.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00081.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00082.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00083.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00084.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00085.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00086.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00087.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00088.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00089.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00090.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00091.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00092.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00093.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00094.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00095.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00096.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00097.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00098.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00099.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00100.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00101.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00102.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00103.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00104.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00105.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00106.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00107.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00108.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00109.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00110.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00111.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00112.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00113.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00114.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00115.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00116.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00117.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00118.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00119.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00120.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00121.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00122.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00123.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00124.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00125.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00126.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00127.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00128.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00129.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00130.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00131.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00132.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00133.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00134.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00135.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00136.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00137.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00138.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00139.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00140.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00141.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00142.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00143.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00144.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00145.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00146.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00147.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00148.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00149.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00150.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00151.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00152.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00153.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00154.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00155.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00156.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00157.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00158.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00159.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00160.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00161.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00162.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00163.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00164.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00165.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00166.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00167.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00168.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00169.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,test
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00170.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00171.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
RAW_DATA\01_Chilli\abiotic\Chilli Nutrition Deficiency\Nutrition Deficiency00172.JPG,Chilli,abiotic,Chilli Nutrition Deficiency,0,train
